ID,SMILES,pIC50,bioactivity,document_ID,Assay,Journal,Year
CHEMBL104043,Cc1cc(C2=NC(C(=O)NO)CO2)ccc1F,5.92,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL104175,O=C(NO)C1CSC(c2ccc(F)cc2)=N1,4.2,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL104329,CC(C)=CCOc1ccc(C2=NC(C(=O)NO)CO2)cc1OC(F)(F)F,6.72,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL104470,O=C(NO)C1COC(c2cc(F)cc(C(F)(F)F)c2)=N1,4.6,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL104569,O=C(NO)C1COC(c2cccc(OC(F)(F)F)c2)=N1,5.22,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL104577,O=C(NO)C1CCOC(c2cc3cc(F)ccc3[nH]2)=N1,4.51,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL104671,O=C(NO)C1COC(c2ccc(OC(F)(F)F)c(Cl)c2)=N1,4.52,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL105024,C=CCOc1ccc(C2=NC(C(=O)NO)CO2)cc1OC(F)(F)F,6.92,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL105262,COc1c(F)cc(C2=NC(C(=O)NO)CO2)cc1Br,5.05,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL105614,O=C(NO)C1COC(c2[nH]c3ccc(F)cc3c2Cl)=N1,6.52,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106401,O=C(NO)C1COC(c2ccc(OC(F)(F)F)cc2)=N1,5.3,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106535,O=C(NO)C1COC(c2ccc(C(F)(F)F)cc2)=N1,5.11,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106647,O=C(NO)C1COC(c2ccc(Br)cc2)=N1,5.57,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106727,CCCc1ccc(-c2ccc(C3=NC(C(=O)NO)CO3)cc2)cc1,6.55,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106733,CN(C)c1ccc(C2=NC(C(=O)NO)CO2)cc1,5.31,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106826,CCCCn1nc(C2=NC(C(=O)NO)CO2)c2ccccc21,5,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106879,O=C(NO)C1COC(c2ccc([N+](=O)[O-])cc2)=N1,5.27,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
CHEMBL106912,O=C(NO)C1COC(c2cccc(C(F)(F)F)c2)=N1,5.6,inactive,CHEMBL1135994,Inhibition of Pseudomonas aeruginosa UDP-3-O-acyl-N-acetylglucosamine Deacetylase (LpxC) in vitro.,J. Med. Chem.,2002
