MonomerID,Reactant_set_id,SMILES,LigandName,pIC50,bioactivity,CSK frequency,Murcko frequency
30604,187062,CC(C)CCOc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 292",8.955,active,5,5
30552,182473,CCC(CC)COc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 239",8.889,active,5,5
30580,182501,CC(C)CCCOc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 267",8.492,active,5,5
30565,182486,CCCCCCOc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 252",8.2,active,5,5
30578,182499,CC(C)Oc1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 265",6.979,inactive,5,5
264723,506543,CC#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 2-A",12,potent,25,13
264740,506548,CCC#Cc1ccc(cc1)C1=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 8-B",12,potent,25,13
264758,506554,CC#Cc1ccc(C2=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C2)c(F)c1,"US9718792, 16-B",12,potent,25,13
264770,506558,C\C=C\c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 24",12,potent,25,13
264773,506559,C\C=C(/F)c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 29",12,potent,25,13
264776,506560,CC(O)C#CC#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 30",12,potent,25,13
265017,506639,CCc1ccc(C2=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C2)c(F)c1,"US9718792, 120",12,potent,25,13
264779,506561,CCc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 31",12,potent,25,13
264782,506562,CCSc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 32",12,potent,25,13
264746,506550,CC#Cc1ccc(cc1F)C1=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 12-B",11.699,potent,25,13
264788,506564,C[C@@](C[C@H]1CC(=NO1)c1ccc(CCCCF)cc1)(C(=O)NO)S(C)(=O)=O,"US9718792, 34",11.699,potent,25,13
264785,506563,C[C@@](C[C@H]1CC(=NO1)c1ccc(CCCF)cc1)(C(=O)NO)S(C)(=O)=O,"US9718792, 33",11.699,potent,25,13
264731,506545,CC#CCOc1ccc(cc1)C1=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C1,"US9718792, 4-B",10.62,potent,25,13
135499,269008,CC(CCc1ccc(cc1)-c1ccc(OCCCO)cc1)(C(=O)NO)S(C)(=O)=O,"US8853258, 115",9.411,potent,94,78
135481,268990,CSc1cccc(c1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 56",9.38,potent,94,78
135517,269026,CC(CCc1ccc(cc1F)-c1ccc(cc1)C#N)(C(=O)NO)S(C)(=O)=O,"US8853258, 168",9.37,potent,94,78
135488,268997,Cc1cccc(c1C)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 78",9.353,potent,94,78
135489,268998,CC(CCc1ccc(cc1)-c1ccccc1Cl)(C(=O)NO)S(C)(=O)=O,"US8853258, 81",9.349,potent,94,78
135500,269009,CC(CCc1ccc(cc1)-c1ccc(CO)c(F)c1)(C(=O)NO)S(C)(=O)=O,"US8853258, 123",9.309,potent,94,78
135469,268978,COc1cc(CCC(C)(C(=O)NO)S(C)(=O)=O)ccc1-c1ccc(F)cc1,"US8853258, 18",9.201,potent,94,78
135509,269018,CC(C)(O)CCc1ccc(cc1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,"US8853258, 158",9.191,potent,94,78
